name,type,ingredients,servings,rating,cookTime,directions
Spaghetti with Tomato Sauce,main,"pasta, tomato sauce, salt, pepper, oil",2,4.5,20,"Boil pasta. Heat sauce with salt, pepper, and oil. Mix pasta with sauce and serve."
Chicken Fried Rice,main,"chicken, rice, egg, soy sauce, oil, peas, corn",3,4.6,25,"Cook chicken in oil. Scramble eggs. Add rice, peas, corn, and soy sauce. Mix everything and serve."
Fruit Smoothie,dessert,"banana, strawberry, milk, sugar",1,4.7,5,"Blend banana, strawberries, milk, and sugar until smooth. Serve cold."
Omelette,breakfast,"egg, salt, pepper, oil",1,4.2,7,"Beat eggs with salt and pepper. Heat oil in pan, pour eggs, cook until set. Fold and serve."
Grilled Chicken Salad,main,"chicken, lettuce, tomato, oil, salt, pepper",2,4.3,15,"Cook chicken with oil, salt, and pepper. Chop lettuce and tomato. Combine all and serve."
Chocolate Chip Cookies,dessert,"flour, sugar, chocolate chips, butter, egg",4,4.8,18,"Mix flour, sugar, butter, egg, and chocolate chips. Spoon onto baking tray. Bake at 350°F for 12-15 min."
Garlic Butter Shrimp,main,"shrimp, garlic powder, butter, salt, pepper",2,4.7,12,"Melt butter in pan, add garlic powder, shrimp, salt, and pepper. Cook until shrimp turns pink. Serve."
Banana Pancakes,breakfast,"banana, egg, flour, sugar, butter",2,4.5,10,"Mash banana, mix with egg, flour, and sugar. Cook spoonfuls in buttered pan until golden."
Chicken Tacos,main,"chicken, tortilla, salt, pepper, paprika",3,4.6,15,"Cook chicken with salt, pepper, and paprika. Place in tortillas and serve."
Fruit Salad,dessert,"apple, banana, berries, honey",2,4.3,5,Chop all fruits and mix. Drizzle with honey and serve.
Buttered Noodles,side,"pasta, butter, salt, pepper, garlic powder",2,3.5,12,"Cook pasta, drain, mix with butter, salt, pepper, and garlic powder. Serve warm."
Grilled Cheese Sandwich,main,"bread, cheese, butter",1,4.6,6,"Butter bread slices, place cheese between them. Grill until golden brown. Serve hot."
Chicken Noodle Soup,main,"chicken, pasta, carrots, peas, salt, pepper",3,4.7,25,"Cook chicken, add pasta, carrots, and peas. Season with salt and pepper. Simmer and serve."
Mango Smoothie,dessert,"mango, milk, sugar",1,4.3,5,"Blend mango, milk, and sugar until smooth. Serve chilled."
Mashed Potatoes,side,"potatoes, butter, salt, pepper, milk",3,3.2,20,"Boil potatoes until soft. Mash with butter, milk, salt, and pepper. Serve warm."
Lemon Pepper Chicken,main,"chicken, lemon, pepper, salt, garlic powder, oil",3,4.5,30,"Marinate chicken with lemon, pepper, salt, garlic powder, and oil. Bake or pan-cook until done."
Banana Berry Bowl,dessert,"banana, berries, honey",1,4.4,3,Slice banana and mix with berries. Drizzle with honey. Serve fresh.
Shrimp Skillet,main,"shrimp, oil, garlic powder, paprika, salt, pepper",2,4.6,10,"Heat oil, add garlic, paprika, salt, pepper, and shrimp. Cook until shrimp is done. Serve."
Beef and Potato Skillet,main,"ground beef, potatoes, onion powder, garlic powder, oil",3,4.3,22,Cook beef with onion and garlic powder. Add diced potatoes. Cook until potatoes are soft. Serve hot.
Baked Salmon,main,"salmon, oil, lemon, salt, pepper",2,4.8,18,"Brush salmon with oil, season with salt, pepper, and lemon. Bake at 375°F for 15-18 min. Serve."
Cinnamon Apples,dessert,"apple, butter, honey, cinnamon",1,3.8,10,"Cook sliced apples with butter, honey, and cinnamon until soft. Serve warm."
Lemon Butter Broccoli,side,"broccoli, butter, lemon, salt, pepper",2,4.4,7,"Steam broccoli. Toss with melted butter, lemon juice, salt, and pepper. Serve."
French Toast,breakfast,"bread, egg, milk, sugar, cinnamon, butter",2,4.6,9,"Mix eggs, milk, sugar, cinnamon. Dip bread and cook in buttered pan until golden. Serve."
Peanut Butter Banana Toast,snack,"bread, peanut butter, banana, honey",1,3.6,4,"Toast bread, spread peanut butter, add banana slices and drizzle honey. Serve"
Simple Beef Tacos,main,"ground beef, tortilla, salt, pepper, paprika, garlic powder",3,4.5,15,Cook beef with seasonings. Serve in tortillas with optional toppings.
Chicken Stir Fry,main,"chicken, peas, corn, carrots, soy sauce, oil, salt, pepper",3,4.3,18,"Cook chicken in oil, add vegetables, season with soy sauce, salt, and pepper. Serve hot."
Berry Yogurt Bowl,snack,"yogurt, berries, honey",1,4.2,4,Mix yogurt with berries and honey. Serve fresh.
Baked Chicken Wings,main,"chicken wings, oil, salt, pepper, paprika, garlic powder",3,4.7,35,"Season wings, drizzle with oil, bake at 400°F until cooked. Serve hot."
Fruit Yogurt Smoothie,dessert,"yogurt, banana, berries, sugar",1,4.3,5,Blend all ingredients until smooth. Serve chilled.
Chicken Wrap,main,"chicken, tortilla, lettuce, tomato, pepper, oil",1,4.3,10,"Cook chicken, place in tortilla with lettuce and tomato. Roll and serve."
Shrimp Pasta,main,"pasta, shrimp, butter, garlic powder, salt, pepper",2,5,16,"Cook pasta, sauté shrimp with butter and garlic. Mix with pasta and serve."
Beef Rice Bowl,main,"ground beef, rice, salt, pepper, garlic powder",2,4.4,20,Cook beef with seasonings. Serve over cooked rice.
Lemon Chicken Pasta,main,"pasta, chicken, lemon, butter, salt, pepper",2,4.5,22,"Cook pasta and chicken. Mix with butter, lemon, salt, and pepper. Serve warm."
Chocolate Chip Muffins,dessert,"flour, sugar, chocolate chips, butter, egg, milk, salt",3,3.9,20,Mix all ingredients. Spoon into muffin tins. Bake at 350°F for 18-20 minutes. Serve warm.


